Date,PERSON,GRASS,TREATMENT,BLOCK,WEIGHT.g
45504,Boussad,Teff,Control,1,0.0105
45504,Boussad,Teff,Control,2,0.0174
45504,Boussad,Teff,Control,3,0.0172
45504,Boussad,Teff,Control,4,0.0078
45504,Boussad,Teff,Control,5,0.0093
45504,Boussad,Teff,Control,6,0.0251
45504,Boussad,Teff,Nod,1,0.0073
45504,Boussad,Teff,Nod,2,0.0062
45504,Boussad,Teff,Nod,3,0.0119
45504,Boussad,Teff,Nod,4,0.0049
45504,Boussad,Teff,Nod,5,0.0066
45504,Boussad,Teff,Nod,6,0.001
45504,Boussad,Teff,Liq,1,0.0065
45504,Boussad,Teff,Liq,2,0.0097
45504,Boussad,Teff,Liq,3,0.0223
45504,Boussad,Teff,Liq,4,0.0086
45504,Boussad,Teff,Liq,5,0.0183
45504,Boussad,Teff,Liq,6,0.018
45504,Boussad,Teff,Dry,1,0.0068
45504,Boussad,Teff,Dry,2,0.0086
45504,Boussad,Teff,Dry,3,0.0177
45504,Boussad,Teff,Dry,4,0.0136
45504,Boussad,Teff,Dry,5,0.0114
45504,Boussad,Teff,Dry,6,0.0111
45504,Zahia,Crabgrass,Control,1,0.0256
45504,Zahia,Crabgrass,Control,2,0.0068
45504,Zahia,Crabgrass,Control,3,0.0083
45504,Zahia,Crabgrass,Control,4,0.0142
45504,Zahia,Crabgrass,Control,5,0.8641
45504,Zahia,Crabgrass,Control,6,0.3054
45504,Zahia,Crabgrass,Liq,1,2.2566
45504,Zahia,Crabgrass,Liq,2,0.1001
45504,Zahia,Crabgrass,Liq,3,0.6404
45504,Zahia,Crabgrass,Liq,4,0.01
45504,Zahia,Crabgrass,Liq,5,3.2812
45504,Zahia,Crabgrass,Liq,6,1.6077
45504,Zahia,Crabgrass,Dry,1,3.6983
45504,Zahia,Crabgrass,Dry,2,0.0199
45504,Zahia,Crabgrass,Dry,3,0.0224
45504,Zahia,Crabgrass,Dry,4,0.0148
45504,Zahia,Crabgrass,Dry,5,0.0674
45504,Zahia,Crabgrass,Dry,6,0.0085
45504,Zahia,Crabgrass,Nod,1,0.0141
45504,Zahia,Crabgrass,Nod,2,0.007
45504,Zahia,Crabgrass,Nod,3,1.5616
45504,Zahia,Crabgrass,Nod,4,0.0137
45504,Zahia,Crabgrass,Nod,5,0.5884
45504,Zahia,Crabgrass,Nod,6,0.886
